id,gid,x,y,dir_x,dir_y,radius,time
1,0,171.076645,126.082176,0.350024,0.284979,2.000000,46.250000
2,0,70.939110,199.008011,0.297538,0.142927,2.000000,46.250000
3,0,-51.993568,199.334778,0.099889,0.009083,2.000000,46.250000
4,0,-151.771072,126.610764,0.183315,0.000871,2.000000,46.250000
5,0,-189.888519,9.575201,0.153051,0.160615,2.000000,46.250000
6,0,-152.861343,-108.211487,0.153589,0.264798,2.000000,46.250000
7,0,-52.663719,-180.424103,0.200536,0.345577,2.000000,46.250000
8,0,71.028038,-180.375381,0.312384,0.203752,2.000000,46.250000
9,0,171.441147,-108.551498,0.204217,0.296190,2.000000,46.250000
0,0,208.965729,9.966931,0.007398,0.299551,2.000000,46.500000
1,0,171.136841,126.181068,0.240774,0.395563,2.000000,46.500000
2,0,71.038445,199.049957,0.397338,0.167797,2.000000,46.500000
3,0,-51.901623,199.341736,0.367784,0.027809,2.000000,46.500000
4,0,-151.671677,126.645477,0.397558,0.138852,2.000000,46.500000
5,0,-189.857925,9.643002,0.122362,0.271203,2.000000,46.500000
6,0,-152.771759,-108.154350,0.358351,0.228561,2.000000,46.500000
7,0,-52.637196,-180.329865,0.106088,0.376941,2.000000,46.500000
8,0,71.118652,-180.321503,0.362457,0.215492,2.000000,46.500000
9,0,171.540405,-108.510048,0.397050,0.165800,2.000000,46.500000
0,0,209.056824,10.054588,0.364382,0.350627,2.000000,46.750000
1,0,171.152817,126.233917,0.063915,0.211386,2.000000,46.750000
2,0,71.066307,199.056259,0.111463,0.025199,2.000000,46.750000
3,0,-51.870247,199.398972,0.125511,0.228927,2.000000,46.750000
4,0,-151.649521,126.737877,0.088627,0.369603,2.000000,46.750000
5,0,-189.768356,9.690434,0.358265,0.189733,2.000000,46.750000
6,0,-152.762772,-108.145836,0.035951,0.034051,2.000000,46.750000
7,0,-52.597916,-180.272964,0.157118,0.227626,2.000000,46.750000
8,0,71.145996,-180.313965,0.109384,0.030138,2.000000,46.750000
9,0,171.584778,-108.495438,0.177475,0.058436,2.000000,46.750000
0,0,209.107498,10.136050,0.202684,0.325849,2.000000,47.000000
1,0,171.170670,126.293251,0.071401,0.237329,2.000000,47.000000
2,0,71.092140,199.067749,0.103336,0.045940,2.000000,47.000000
3,0,-51.854111,199.489380,0.064547,0.361604,2.000000,47.000000
4,0,-151.566879,126.819786,0.330562,0.327651,2.000000,47.000000
5,0,-189.763702,9.712205,0.018635,0.087084,2.000000,47.000000
6,0,-152.760010,-108.105125,0.011068,0.162855,2.000000,47.000000
7,0,-52.531898,-180.180344,0.264068,0.370497,2.000000,47.000000
8,0,71.167450,-180.219376,0.085820,0.378331,2.000000,47.000000
9,0,171.622208,-108.439926,0.149698,0.222041,2.000000,47.000000
0,0,209.120758,10.234454,0.053016,0.393617,2.000000,47.250000
1,0,171.219452,126.364197,0.195127,0.283779,2.000000,47.250000
2,0,71.110268,199.132889,0.072513,0.260575,2.000000,47.250000
3,0,-51.783573,199.498428,0.282144,0.036189,2.000000,47.250000
4,0,-151.527740,126.902802,0.156567,0.332062,2.000000,47.250000
5,0,-189.684677,9.739506,0.316075,0.109203,2.000000,47.250000
6,0,-152.674561,-108.028992,0.341767,0.304542,2.000000,47.250000
7,0,-52.510612,-180.092484,0.085149,0.351436,2.000000,47.250000
8,0,71.185181,-180.188004,0.070910,0.125473,2.000000,47.250000
9,0,171.711380,-108.364891,0.356691,0.300154,2.000000,47.250000
0,0,209.175613,10.315679,0.219401,0.324898,2.000000,47.500000
1,0,171.265594,126.368538,0.184586,0.017369,2.000000,47.500000
2,0,71.162323,199.211990,0.208209,0.316433,2.000000,47.500000
3,0,-51.688004,199.589935,0.382271,0.366057,2.000000,47.500000
4,0,-151.437729,126.996277,0.360061,0.373905,2.000000,47.500000
5,0,-189.600296,9.807283,0.337521,0.271112,2.000000,47.500000
6,0,-152.648163,-107.945084,0.105600,0.335644,2.000000,47.500000
7,0,-52.462700,-180.055145,0.191652,0.149345,2.000000,47.500000
8,0,71.213959,-180.157196,0.115107,0.123248,2.000000,47.500000
9,0,171.763535,-108.300163,0.208621,0.258912,2.000000,47.500000
0,0,209.232300,10.380531,0.226751,0.259411,2.000000,47.750000
1,0,171.284027,126.378067,0.073719,0.038130,2.000000,47.750000
2,0,71.174698,199.228043,0.049492,0.064221,2.000000,47.750000
3,0,-51.642967,199.637650,0.180144,0.190872,2.000000,47.750000
4,0,-151.403870,127.068993,0.135443,0.290874,2.000000,47.750000
5,0,-189.502670,9.824810,0.390490,0.070107,2.000000,47.750000
6,0,-152.580353,-107.905495,0.271217,0.158343,2.000000,47.750000
7,0,-52.429798,-180.050659,0.131605,0.017959,2.000000,47.750000
8,0,71.223953,-180.082230,0.039964,0.299888,2.000000,47.750000
9,0,171.765488,-108.282501,0.007817,0.070641,2.000000,47.750000
0,0,209.282730,10.474591,0.201728,0.376241,2.000000,48.000000
1,0,171.287949,126.416031,0.015677,0.151842,2.000000,48.000000
2,0,71.258675,199.283447,0.335906,0.221597,2.000000,48.000000
3,0,-51.569168,199.660736,0.295203,0.092340,2.000000,48.000000
4,0,-151.364395,127.160622,0.157908,0.366503,2.000000,48.000000
5,0,-189.468109,9.839488,0.138250,0.058713,2.000000,48.000000
6,0,-152.561340,-107.816521,0.076061,0.355902,2.000000,48.000000
7,0,-52.404869,-179.966919,0.099713,0.334942,2.000000,48.000000
8,0,71.286766,-179.999496,0.251258,0.330907,2.000000,48.000000
9,0,171.812180,-108.218346,0.186738,0.256620,2.000000,48.000000
0,0,209.288666,10.539975,0.023756,0.261536,2.000000,48.250000
1,0,171.298218,126.442200,0.041075,0.104666,2.000000,48.250000
2,0,71.315826,199.286789,0.228619,0.013378,2.000000,48.250000
3,0,-51.546009,199.717865,0.092643,0.228521,2.000000,48.250000
4,0,-151.329926,127.209564,0.137874,0.195775,2.000000,48.250000
5,0,-189.448318,9.852947,0.079177,0.053839,2.000000,48.250000
6,0,-152.481659,-107.765533,0.318700,0.203960,2.000000,48.250000
7,0,-52.329243,-179.940170,0.302506,0.106974,2.000000,48.250000
8,0,71.375580,-179.938751,0.355250,0.242954,2.000000,48.250000
9,0,171.885849,-108.123230,0.294648,0.380450,2.000000,48.250000
0,0,209.343277,10.544231,0.218444,0.017025,2.000000,48.500000
1,0,171.396896,126.521690,0.394688,0.317954,2.000000,48.500000
2,0,71.360191,199.343781,0.177474,0.227947,2.000000,48.500000
3,0,-51.542377,199.802368,0.014534,0.338015,2.000000,48.500000
4,0,-151.256744,127.268227,0.292746,0.234636,2.000000,48.500000
5,0,-189.377808,9.902150,0.282041,0.196812,2.000000,48.500000
6,0,-152.399231,-107.758987,0.329732,0.026176,2.000000,48.500000
7,0,-52.315769,-179.863480,0.053898,0.306770,2.000000,48.500000
8,0,71.468742,-179.916611,0.372638,0.088590,2.000000,48.500000
9,0,171.940186,-108.023933,0.217355,0.397194,2.000000,48.500000
0,0,209.383774,10.631796,0.161997,0.350258,2.000000,48.750000
1,0,171.482880,126.568039,0.343945,0.185394,2.000000,48.750000
2,0,71.446724,199.422989,0.346124,0.316824,2.000000,48.750000
3,0,-51.483936,199.852982,0.233765,0.202454,2.000000,48.750000
4,0,-151.201797,127.328758,0.219767,0.242112,2.000000,48.750000
5,0,-189.372757,9.990818,0.020216,0.354673,2.000000,48.750000
6,0,-152.330658,-107.706192,0.274309,0.211168,2.000000,48.750000
7,0,-52.230850,-179.843948,0.339678,0.078152,2.000000,48.750000
8,0,71.536446,-179.839233,0.270813,0.309533,2.000000,48.750000
9,0,172.001358,-107.961555,0.244697,0.249511,2.000000,48.750000
0,0,209.432785,10.684575,0.196050,0.211117,2.000000,49.000000
1,0,171.550186,126.638062,0.269233,0.280102,2.000000,49.000000
2,0,71.450439,199.488159,0.014856,0.260698,2.000000,49.000000
3,0,-51.420631,199.920258,0.253219,0.269099,2.000000,49.000000
4,0,-151.124313,127.386375,0.309923,0.230456,2.000000,49.000000
5,0,-189.349152,10.035399,0.094437,0.178326,2.000000,49.000000
6,0,-152.248520,-107.640160,0.328569,0.264131,2.000000,49.000000
7,0,-52.153519,-179.826584,0.309330,0.069441,2.000000,49.000000
8,0,71.540527,-179.778595,0.016321,0.242576,2.000000,49.000000
9,0,172.031631,-107.899040,0.121118,0.250059,2.000000,49.000000
0,0,209.475998,10.769291,0.172876,0.338864,2.000000,49.250000
1,0,171.628647,126.692047,0.313825,0.215953,2.000000,49.250000
2,0,71.516037,199.492752,0.262378,0.018397,2.000000,49.250000
3,0,-51.337730,199.956848,0.331599,0.146384,2.000000,49.250000
4,0,-151.069794,127.410065,0.218074,0.094768,2.000000,49.250000
5,0,-189.278687,10.128210,0.281871,0.371244,2.000000,49.250000
6,0,-152.151108,-107.611374,0.389657,0.115150,2.000000,49.250000
7,0,-52.094910,-179.819748,0.234444,0.027329,2.000000,49.250000
8,0,71.582237,-179.735916,0.166847,0.170723,2.000000,49.250000
9,0,172.131241,-107.840790,0.398447,0.232995,2.000000,49.250000
0,0,209.508194,10.844503,0.128798,0.300852,2.000000,49.500000
1,0,171.674927,126.718872,0.185090,0.107301,2.000000,49.500000
2,0,71.615143,199.524612,0.396424,0.127436,2.000000,49.500000
3,0,-51.276997,199.992020,0.242941,0.140674,2.000000,49.500000
4,0,-151.054153,127.475105,0.062560,0.260177,2.000000,49.500000
5,0,-189.185852,10.221082,0.371356,0.371486,2.000000,49.500000
